                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.94624,                 0.6355,                 1.4566,                0.98328,                0.98459,                 0.9932,                0.83482,                0.65888,                0.47082,                   1.22,              0.0002774,              0.0002774,              0.0002774
                     90,                0.91069,                0.62139,                  1.404,                0.97742,                0.98325,                0.99179,                0.83754,                0.65473,                0.47384,                 1.2148,              0.0002576,              0.0002576,              0.0002576
                     91,                0.75139,                0.54037,                 1.2673,                0.98326,                0.97847,                0.99109,                0.82875,                0.67802,                 0.4756,                  1.235,              0.0002378,              0.0002378,              0.0002378
                     92,                0.74967,                0.50371,                 1.2619,                0.98869,                0.98086,                0.99152,                0.84475,                0.63721,                 0.4506,                 1.1958,               0.000218,               0.000218,               0.000218
                     93,                 0.6989,                0.47485,                 1.2343,                0.97863,                0.98602,                0.99258,                 0.8408,                 0.6586,                0.45543,                 1.2145,              0.0001982,              0.0001982,              0.0001982
                     94,                0.75156,                0.48391,                 1.2294,                0.98078,                0.97663,                0.99223,                0.84004,                 0.6391,                0.45365,                 1.1894,              0.0001784,              0.0001784,              0.0001784
                     95,                0.70372,                0.47109,                 1.2237,                0.98565,                0.98611,                0.99249,                 0.8445,                0.63198,                0.43526,                 1.1854,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.7049,                0.47978,                 1.2231,                0.98558,                0.98086,                0.99315,                0.85352,                0.60455,                0.42906,                 1.1699,              0.0001388,              0.0001388,              0.0001388
                     97,                0.68403,                0.46046,                 1.2158,                0.98328,                0.98461,                0.99313,                0.85757,                0.60144,                0.42852,                 1.1643,               0.000119,               0.000119,               0.000119
                     98,                0.66742,                0.45198,                 1.2024,                0.98728,                0.97847,                0.99336,                0.86191,                0.59038,                0.42392,                 1.1553,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.66764,                 0.4512,                 1.1958,                0.98795,                0.98047,                0.99374,                0.86845,                0.58363,                0.42001,                 1.1523,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.65267,                0.43077,                 1.1768,                0.98794,                0.97962,                0.99393,                0.86701,                0.58509,                 0.4143,                 1.1503,               5.96e-05,               5.96e-05,               5.96e-05
